['ForceDecks Test Results Export', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Athlete 10', '', 'Countermovement Jump', '3/29/2019 16:25', '61.1', 'Trial 1', '', '', '', '122.67', '43.19', '0.368', '5739', '300', '26.9', '52.3', '141.2', '3116', '1068', '21.8', '1334', '21.5', '1317', '2.44', '-394', '-210', '801', '13.9', '847', '160.3', '9793.7', '155.9', '9522.8', '190.5', '11638.3', '216', '154.3', '852', '-22.9', '184.0', '56.2', '0.356', '23.2', '18', '1119', '34', '2105', '45.7', '0.196', '45', '2722', '552', '662.5', '832.7', '600', '4.069', '249', '18.6', '1134', '511', '-0.746', '-45.6', '0.52', '0.80', '444', '1251', '1134', '24.2', '9.5', '27.2', '27.3', '10.7', '3376.45', '741.7', '359.0', '0.768', '0.786', '78.3', '62.9', '11.7', '44.6', '2726', '11.743', '349.5', '194.8', '0.28', '3.809', '4.177', '3.981', '3.625', '3.625', '19.486', '21.5', '1317', '0.184', '539', '2.179', '1779.753', '122.803', '38.763', '43009', '410.732', '38.763', '49', '2968', '4227', '0.511', '', '7.5', '-1.4', '-4.5', '1.3', '34.3', '1.3', '7.5', '37.3', '', '4.2', '14.1', '49.5', '7.1', '18.1', '-6.9', '5.4', '1.6', '-8.0', '7.3', '1.6', '-4.6', '7.6', '-2.8', '7.1', '', '7.5', '-19.2', '-26.1', '', '', '2761', '2983', '28.6', '28.2', '57.4', '54.8', '159.5', '161.5', '1236', '1880', '531', '538', '634', '684', '326', '521', '', '', '55.0', '57.4', '112.6', '131.1', '384', '761', '1003', '1079', '73.5', '89.7', '1410', '1312', '292', '308', '562', '571', '87.3', '80.4', '602', '649', '562', '571', '86.1', '82.1', '73.4', '79.4', '388.7', '377.8', '230.3', '247.9', '', '', '634', '684', '25172', '20329', '1787', '1321', '8.4', '0.19', '0.80', '2.31', '-5.7', '-100.0', '35.0', '-100.0', '11.8', '-23.1', '0.36', '0.34', '229', '-439', '315', '485', '76', '-470', '0.85', '0.97', '45.2', '34.8']
['Athlete 10', '', 'Countermovement Jump', '3/29/2019 16:25', '61.1', 'Trial 2', '', '', '', '134.50', '46.06', '0.421', '5326', '313', '23.7', '49.0', '139.9', '2980', '1045', '21.0', '1285', '20.9', '1278', '2.42', '1560', '532', '1036', '18.1', '1104', '141.0', '8615.3', '142.5', '8707.9', '176.2', '10767.5', '223', '152.1', '914', '-24.0', '192.0', '57.4', '0.394', '16.6', '6', '340', '24', '1476', '46.8', '0.207', '34', '2100', '601', '638.7', '825.1', '600', '3.911', '239', '16.9', '1032', '508', '-0.765', '-46.7', '0.50', '0.76', '455', '1226', '1032', '25.4', '10.0', '26.7', '26.8', '10.5', '2588.45', '654.5', '410.9', '0.824', '0.846', '76.4', '63.5', '11.1', '43.2', '2639', '11.118', '372.0', '194.7', '0.28', '9.262', '9.683', '9.476', '9.082', '9.082', '15.786', '20.9', '1278', '0.180', '547', '2.153', '1101.560', '85.922', '25.881', '27955', '484.589', '25.881', '36', '2180', '3715', '0.750', '', '8.8', '6.1', '5.8', '7.5', '34.0', '7.5', '8.8', '20.7', '', '-12.9', '-4.2', '22.3', '29.2', '0.3', '12.1', '-5.9', '5.5', '-11.1', '10.1', '5.7', '5.4', '9.7', '2.8', '4.6', '', '8.8', '-36.5', '-26.8', '', '', '2543', '2790', '26.0', '27.7', '52.8', '56.1', '157.3', '170.1', '1224', '1854', '502', '543', '611', '670', '488', '616', '', '', '61.5', '53.6', '137.3', '131.5', '192', '247', '665', '940', '85.3', '85.5', '983', '1117', '309', '291', '502', '531', '100.2', '89.1', '580', '646', '501', '531', '82.5', '87.3', '74.8', '82.8', '441.5', '454.2', '240.1', '251.8', '', '', '611', '670', '21474', '13634', '1546', '1132', '8.3', '0.19', '0.83', '2.29', '-1.8', '-9.3', '10.7', '6.0', '4.5', '-12.1', '0.34', '0.33', '279', '253', '489', '547', '756', '804', '0.91', '0.95', '46.6', '41.0']
['Athlete 10', '', 'Countermovement Jump', '3/29/2019 16:25', '61.1', 'Trial 3', '', '', '', '121.50', '43.24', '0.390', '4236', '321', '27.8', '49.9', '137.4', '2980', '1026', '20.5', '1254', '20.3', '1240', '2.38', '-1002', '-1137', '93', '6.8', '416', '162.4', '9920.8', '137.4', '8395.3', '161.5', '9866.9', '232', '155.2', '902', '-29.3', '181.0', '58.5', '0.370', '27.0', '16', '971', '34', '2086', '56.9', '0.211', '42', '2579', '581', '668.6', '868.7', '600', '4.933', '301', '18.7', '1144', '646', '-0.931', '-56.9', '0.49', '0.77', '445', '1177', '1144', '24.3', '9.6', '25.7', '25.7', '10.1', '2779.63', '711.0', '329.9', '0.813', '0.837', '76.6', '60.7', '10.5', '41.4', '2527', '10.488', '386.0', '202.1', '0.27', '14.625', '15.015', '14.804', '14.434', '14.434', '19.486', '20.3', '1240', '0.191', '579', '2.147', '1495.163', '106.157', '32.368', '36294', '477.264', '32.368', '42', '2577', '4450', '0.808', '', '9.6', '12.8', '14.4', '10.4', '43.9', '10.4', '9.6', '-22.8', '', '-9.1', '5.7', '-16.3', '12.4', '9.7', '26.8', '1.4', '12.3', '-8.1', '10.2', '12.2', '12.3', '8.2', '0.5', '9.9', '', '9.6', '-60.0', '-56.6', '', '', '2012', '2224', '26.9', '30.9', '50.7', '59.2', '155.8', '173.8', '1138', '2030', '485', '541', '589', '651', '234', '181', '', '', '61.4', '55.8', '126.6', '134.1', '761', '637', '1004', '1145', '87.0', '96.3', '1090', '1489', '298', '302', '534', '610', '85.9', '78.9', '557', '620', '534', '609', '80.6', '91.9', '75.2', '82.0', '490.3', '492.5', '240.4', '266.7', '', '', '589', '651', '28137', '11245', '1970', '855', '10.6', '0.26', '0.79', '2.25', '4.5', '-6.7', '-100.0', '-100.0', '-4.4', '-4.1', '0.33', '0.34', '-587', '-550', '180', '-87', '-680', '-322', '0.93', '0.89', '35.6', '34.2']
['Athlete 10', '', 'Countermovement Jump', '3/29/2019 16:25', '61.1', 'Trial 4', '', '', '', '114.05', '39.15', '0.341', '4678', '299', '33.2', '61.0', '140.3', '', '1067', '22.4', '1367', '21.0', '1280', '2.43', '-558', '-1516', '-161', '21.7', '1324', '217.5', '13288.1', '179.7', '10978.8', '182.9', '11175.3', '21', '152.3', '871', '-27.4', '191.3', '56.2', '0.384', '32.3', '24', '1459', '45', '2729', '55.9', '0.188', '57', '3473', '572', '694.3', '896.5', '600', '4.684', '286', '20.5', '1252', '643', '-0.911', '-55.7', '0.52', '0.80', '456', '1199', '1252', '25.5', '10.0', '26.9', '27.0', '10.6', '3400.01', '755.8', '321.9', '0.593', '0.804', '84.3', '56.0', '11.1', '42.5', '2597', '11.148', '396.3', '204.1', '0.29', '19.776', '20.117', '19.929', '19.545', '19.545', '18.186', '21.0', '1280', '0.231', '574', '2.166', '1755.506', '112.352', '37.064', '44747', '507.473', '37.064', '47', '2864', '4960', '0.903', '', '2.1', '2.0', '2.0', '6.1', '', '6.0', '2.1', '-39.3', '', '2.6', '10.6', '22.4', '12.5', '13.1', '-4.8', '8.5', '3.0', '3.8', '9.0', '3.0', '2.9', '9.7', '9.7', '8.3', '', '2.1', '-28.5', '-24.1', '', '', '2317', '2365', '31.2', '31.9', '59.8', '61.0', '154.8', '164.7', '', '', '517', '550', '634', '647', '824', '500', '', '', '55.5', '56.9', '111.7', '125.0', '686', '884', '1256', '1436', '78.3', '90.2', '1779', '1694', '287', '313', '617', '636', '85.5', '88.9', '571', '628', '617', '636', '85.5', '88.1', '69.2', '76.6', '450.0', '498.2', '230.8', '251.8', '', '', '634', '647', '26264', '18769', '1681', '1276', '10.5', '0.25', '0.66', '2.30', '-4.2', '2.4', '-100.0', '100.0', '7.0', '24.6', '0.39', '0.37', '-749', '-767', '-130', '-31', '-186', '-372', '0.81', '0.87', '30.6', '40.6']
['Athlete 32', '', 'Countermovement Jump', '3/27/2019 17:00', '63.8', 'Trial 1', '', '', '', '145.04', '47.17', '0.409', '4966', '282', '31.3', '58.8', '150.0', '3932', '1156', '22.7', '1448', '22.4', '1428', '2.47', '-594', '-1051', '828', '13.3', '850', '186.3', '11886.3', '165.1', '10533.3', '212.0', '13523.2', '206', '148.2', '867', '-28.8', '207.4', '54.2', '0.398', '22.1', '9', '581', '33', '2113', '57.0', '0.187', '53', '3359', '585', '679.9', '930.3', '626', '4.814', '307', '19.6', '1253', '653', '-0.895', '-57.1', '0.55', '0.81', '476', '1373', '1253', '27.8', '10.9', '28.0', '28.1', '11.1', '3005.08', '783.6', '389.0', '0.791', '0.808', '81.1', '68.9', '12.6', '47.3', '3019', '12.582', '416.3', '214.4', '0.32', '2.123', '2.532', '2.345', '1.947', '1.947', '19.064', '22.4', '1428', '0.176', '590', '2.198', '1254.947', '81.572', '25.704', '34855', '541.517', '25.704', '36', '2266', '4457', '0.805', '', '5.2', '0.0', '2.2', '5.4', '-7.9', '5.4', '5.2', '49.4', '', '-9.5', '-5.7', '-38.2', '11.2', '-1.7', '0.8', '-4.4', '-3.1', '-6.7', '7.2', '-3.0', '3.6', '7.4', '6.6', '2.6', '', '5.2', '37.5', '25.0', '', '', '2421', '2553', '31.3', '31.3', '60.0', '61.4', '158.7', '167.8', '2054', '1892', '562', '594', '696', '734', '285', '564', '', '', '57.0', '51.5', '143.0', '134.9', '340', '210', '1013', '1141', '87.7', '86.2', '1673', '1687', '320', '306', '637', '617', '99.3', '92.6', '661', '712', '636', '617', '83.1', '86.2', '75.5', '81.6', '474.5', '508.0', '244.0', '250.7', '', '', '696', '734', '15047', '24066', '1174', '1564', '10.2', '0.22', '0.85', '2.35', '-3.3', '-100.0', '45.0', '100.0', '4.0', '13.8', '0.38', '0.37', '-828', '-223', '294', '534', '-618', '24', '0.91', '0.95', '35.6', '41.3']
['Athlete 32', '', 'Countermovement Jump', '3/27/2019 17:00', '63.8', 'Trial 2', '', '', '', '131.16', '45.70', '0.383', '4900', '292', '31.8', '57.9', '154.3', '4366', '1152', '23.0', '1470', '22.6', '1441', '2.52', '-1472', '-1800', '556', '11.2', '716', '188.9', '12052.1', '156.9', '10009.6', '208.0', '13269.3', '221', '153.5', '838', '-29.4', '187.0', '54.3', '0.332', '27.9', '20', '1298', '39', '2509', '59.1', '0.214', '48', '3071', '546', '698.8', '902.3', '626', '5.274', '336', '20.1', '1283', '661', '-0.927', '-59.1', '0.57', '0.87', '475', '1386', '1283', '27.7', '10.9', '29.7', '29.8', '11.7', '3266.63', '874.5', '322.2', '0.767', '0.783', '80.6', '73.7', '12.8', '49.3', '3145', '12.786', '419.7', '220.2', '0.33', '6.494', '6.877', '6.663', '6.331', '6.331', '19.064', '22.6', '1441', '0.163', '615', '2.269', '1164.275', '89.649', '29.057', '32201', '581.991', '29.057', '39', '2480', '4623', '0.850', '', '-3.3', '-9.0', '-7.0', '-6.8', '2.1', '-6.8', '-3.3', '53.7', '', '-8.5', '-16.2', '66.4', '6.3', '-15.0', '-8.8', '-14.8', '-11.9', '-14.5', '-5.0', '-11.9', '-6.3', '-7.3', '-18.0', '-9.6', '', '-3.3', '-16.7', '-21.0', '', '', '2493', '2411', '33.0', '30.0', '62.4', '58.0', '174.5', '162.6', '2202', '2250', '597', '556', '733', '709', '227', '490', '', '', '56.7', '51.8', '145.6', '122.0', '260', '773', '1151', '1229', '104.4', '88.7', '1607', '1465', '338', '288', '682', '601', '80.1', '68.5', '710', '675', '682', '601', '88.8', '83.1', '85.7', '79.4', '574.6', '471.4', '275.7', '249.2', '', '', '733', '709', '18455', '15366', '1440', '1137', '10.4', '0.21', '0.92', '2.42', '-0.2', '-85.3', '65.7', '-100.0', '-1.0', '-31.7', '0.36', '0.36', '-1169', '-631', '142', '414', '-1188', '-284', '0.97', '0.96', '42.7', '29.2']
['Athlete 32', '', 'Countermovement Jump', '3/27/2019 17:00', '63.8', 'Trial 3', '', '', '', '104.10', '37.25', '0.330', '4492', '317', '33.1', '57.5', '155.6', '6258', '1115', '22.3', '1421', '22.6', '1444', '2.54', '-2338', '-3086', '-569', '7.1', '452', '195.8', '12491.1', '143.9', '9178.8', '187.8', '11983.2', '250', '155.7', '886', '-32.2', '179.5', '56.1', '0.374', '42.4', '31', '1954', '48', '3043', '66.4', '0.195', '57', '3615', '569', '754.3', '966.3', '626', '5.532', '353', '20.9', '1331', '804', '-1.043', '-66.5', '0.56', '0.87', '493', '1389', '1331', '29.8', '11.7', '30.1', '30.3', '11.9', '3123.23', '830.8', '327.1', '0.819', '0.834', '78.2', '77.4', '12.8', '49.8', '3178', '12.833', '428.9', '228.3', '0.34', '10.817', '11.147', '10.952', '10.578', '10.578', '19.664', '22.6', '1444', '0.239', '653', '2.287', '1296.782', '82.994', '28.950', '38636', '567.105', '28.950', '39', '2473', '4906', '0.741', '', '-2.3', '-4.0', '-0.4', '3.3', '-27.7', '3.3', '-2.3', '36.6', '', '-9.1', '-7.7', '3.8', '-5.9', '-10.2', '-10.3', '-6.0', '-6.5', '-1.1', '-2.1', '-6.2', '4.2', '2.4', '-9.7', '-2.1', '', '-2.3', '20.8', '7.6', '', '', '2273', '2221', '32.8', '31.5', '60.2', '59.9', '174.0', '179.9', '3710', '2684', '548', '567', '731', '714', '176', '277', '', '', '58.9', '53.5', '129.4', '119.4', '779', '810', '1524', '1434', '99.3', '89.2', '1906', '1709', '323', '303', '689', '644', '84.2', '83.3', '702', '688', '687', '644', '86.6', '90.4', '87.4', '89.5', '540.1', '487.6', '271.8', '266.1', '', '', '731', '714', '17297', '21829', '1332', '1441', '12.6', '0.25', '0.99', '2.44', '-3.7', '-93.3', '-100.0', '-77.7', '-1.8', '-15.1', '0.35', '0.33', '-2034', '-1052', '-393', '-177', '-1496', '-842', '1.01', '0.99', '46.2', '39.3']
['Athlete 32', '', 'Countermovement Jump', '3/27/2019 17:00', '63.8', 'Trial 4', '', '', '', '130.62', '48.10', '0.418', '4525', '320', '30.1', '53.6', '152.0', '4674', '1099', '21.7', '1386', '22.0', '1405', '2.51', '-1990', '-2288', '-117', '8.8', '560', '171.8', '10961.1', '136.2', '8690.1', '183.6', '11710.7', '246', '158.3', '869', '-31.0', '171.6', '57.0', '0.366', '21.2', '14', '885', '35', '2235', '62.2', '0.183', '55', '3507', '549', '676.7', '965.3', '626', '5.536', '353', '19.9', '1267', '753', '-0.976', '-62.3', '0.54', '0.86', '472', '1353', '1267', '27.3', '10.8', '28.8', '28.9', '11.4', '3009.26', '845.3', '332.7', '0.795', '0.810', '78.0', '74.0', '12.2', '47.9', '3058', '12.212', '422.8', '222.4', '0.31', '14.999', '15.417', '15.234', '14.868', '14.868', '17.764', '22.0', '1405', '0.131', '639', '2.260', '1074.011', '83.773', '26.052', '29331', '606.316', '26.052', '36', '2288', '4191', '0.835', '', '2.2', '6.8', '10.7', '4.6', '-11.8', '4.6', '2.2', '4.5', '', '-10.7', '-9.5', '-57.0', '6.0', '-8.4', '11.6', '-6.4', '1.8', '-4.3', '0.7', '2.2', '11.8', '-3.2', '-11.2', '1.3', '', '2.2', '-18.2', '-25.3', '', '', '2239', '2290', '29.6', '31.8', '54.8', '61.3', '172.0', '180.3', '2498', '2202', '537', '563', '695', '711', '274', '287', '', '', '60.3', '53.8', '148.4', '134.3', '575', '247', '1099', '1169', '92.2', '84.5', '1646', '1861', '323', '303', '629', '640', '85.2', '81.5', '674', '679', '626', '640', '83.5', '94.6', '88.5', '85.7', '586.7', '521.2', '259.7', '263.0', '', '', '695', '711', '17565', '14372', '1423', '1064', '11.8', '0.25', '0.95', '2.38', '6.3', '-100.0', '9.8', '-100.0', '-14.6', '-33.0', '0.32', '0.34', '-1577', '-711', '-56', '-61', '-1534', '-456', '1.06', '0.91', '45.7', '30.6']
['Athlete 16', 'bdeehan', 'Countermovement Jump', '3/27/2019 16:58', '92.3', 'Trial 1', '', '', '', '110.14', '42.58', '0.304', '7331', '276', '51.0', '93.9', '183.9', '', '1569', '19.7', '1822', '21.6', '1996', '2.15', '-3240', '-2788', '-1561', '0.0', '0', '219.6', '20264.7', '189.3', '17467.9', '165.4', '15263.3', '0', '163.0', '714', '-27.3', '158.7', '57.7', '0.279', '49.0', '37', '3419', '60', '5581', '103.5', '0.159', '74', '6864', '438', '1066.7', '1555.6', '906', '6.095', '563', '21.7', '2000', '1365', '-1.122', '-103.6', '0.57', '0.93', '406', '1636', '1996', '20.2', '8.0', '20.2', '20.2', '8.0', '6231.56', '1472.4', '299.9', '0.426', '0.648', '124.1', '59.8', '11.9', '34.7', '3206', '11.824', '562.3', '301.6', '0.28', '0.676', '0.980', '0.821', '0.542', '0.542', '14.154', '21.7', '2000', '0.134', '752', '1.960', '2747.244', '197.802', '33.496', '55511', '514.712', '33.496', '43', '3997', '6249', '0.741', '', '21.8', '19.5', '17.0', '12.7', '', '12.7', '21.4', '0.0', '', '6.3', '23.4', '-1.7', '15.0', '23.9', '21.2', '18.2', '21.8', '7.9', '10.3', '21.4', '15.5', '8.7', '-7.3', '17.5', '', '21.8', '-8.3', '-9.6', '', '', '3222', '4122', '42.9', '53.4', '83.7', '100.8', '202.2', '231.5', '', '', '732', '838', '879', '1118', '0', '0', '', '', '55.7', '59.5', '140.6', '183.6', '1837', '1806', '2615', '3078', '106.9', '140.5', '3025', '3838', '408', '499', '879', '1125', '71.4', '77.6', '774', '862', '879', '1118', '114.1', '135.0', '88.1', '96.5', '618.3', '573.1', '303.3', '367.6', '', '', '879', '1125', '28807', '26407', '2103', '1901', '14.8', '0.43', '0.48', '1.99', '4.9', '100.0', '100.0', '100.0', '-7.4', '-54.8', '0.41', '0.44', '-735', '-2053', '-430', '-1132', '-952', '-2288', '0.77', '0.72', '74.9', '33.9']
['Athlete 16', 'bdeehan', 'Countermovement Jump', '3/27/2019 16:58', '92.3', 'Trial 2', '', '', '', '122.15', '48.37', '0.386', '6794', '316', '44.1', '79.1', '186.3', '', '1493', '18.7', '1722', '20.2', '1863', '2.17', '-3500', '-3221', '-1042', '0.0', '0', '174.6', '16111.1', '143.0', '13202.1', '140.2', '12943.2', '0', '165.6', '798', '-27.6', '152.5', '60.7', '0.308', '26.2', '17', '1540', '40', '3711', '89.7', '0.174', '60', '5522', '482', '973.5', '1420.4', '906', '5.595', '516', '20.3', '1872', '1074', '-0.970', '-89.6', '0.51', '0.84', '403', '1628', '1863', '19.9', '7.8', '20.7', '20.8', '8.2', '5232.35', '1247.3', '430.4', '0.475', '0.733', '115.6', '70.7', '10.5', '35.2', '3251', '10.378', '544.3', '290.4', '0.25', '2.902', '3.288', '3.114', '2.806', '2.806', '16.054', '20.3', '1872', '0.096', '795', '1.997', '2686.302', '206.845', '34.809', '53481', '486.988', '34.809', '45', '4118', '6494', '0.705', '', '23.2', '25.6', '25.1', '15.4', '', '15.4', '22.7', '0.0', '', '-14.6', '7.4', '36.5', '37.1', '10.2', '44.1', '0.9', '23.8', '-11.3', '4.1', '23.8', '22.3', '6.3', '-3.2', '13.9', '', '23.2', '-41.1', '-30.3', '', '', '2964', '3859', '38.1', '51.2', '72.7', '97.0', '216.5', '255.8', '', '', '684', '809', '817', '1057', '0', '0', '', '', '65.9', '56.3', '180.6', '195.0', '730', '1150', '1566', '2490', '116.9', '130.2', '1979', '3543', '451', '455', '811', '1064', '100.3', '88.9', '797', '831', '806', '1057', '113.1', '145.5', '103.4', '110.3', '621.6', '601.5', '327.9', '380.6', '', '', '817', '1064', '44966', '26475', '2923', '2039', '11.6', '0.33', '0.61', '2.02', '11.5', '59.1', '100.0', '-8.1', '-17.1', '-27.0', '0.34', '0.38', '-1243', '-1978', '-87', '-955', '-1818', '-1682', '0.91', '0.76', '56.1', '41.0']
['Athlete 16', 'bdeehan', 'Countermovement Jump', '3/27/2019 16:58', '92.3', 'Trial 3', '', '', '', '93.54', '38.73', '0.275', '7443', '294', '53.4', '94.5', '185.6', '', '1535', '19.7', '1819', '22.4', '2071', '2.17', '-4438', '-4383', '-2049', '6.5', '600', '231.9', '21406.7', '181.0', '16708.0', '153.2', '14137.1', '1', '170.7', '710', '-27.9', '141.5', '59.1', '0.252', '62.6', '72', '6622', '76', '6988', '114.7', '0.164', '77', '7084', '416', '1132.8', '1603.7', '907', '6.560', '606', '22.5', '2076', '1552', '-1.242', '-114.7', '0.57', '0.97', '404', '1619', '2071', '20.0', '7.9', '20.6', '20.6', '8.1', '6908.69', '1563.1', '149.0', '0.406', '0.645', '126.2', '59.3', '12.7', '35.1', '3238', '12.634', '581.6', '315.5', '0.28', '6.219', '6.494', '6.330', '6.078', '6.078', '17.254', '22.5', '2076', '0.141', '789', '2.000', '2671.421', '181.657', '29.570', '53449', '527.632', '29.570', '39', '3634', '6095', '0.829', '', '17.8', '15.8', '14.4', '12.5', '', '12.5', '17.1', '100.0', '', '-8.3', '16.6', '-22.9', '16.6', '21.5', '17.8', '4.6', '17.8', '-33.3', '3.6', '17.1', '13.9', '10.5', '20.6', '15.3', '', '17.8', '43.3', '35.6', '', '', '3371', '4103', '45.1', '53.6', '85.3', '99.7', '210.8', '240.9', '', '', '716', '819', '939', '1133', '0', '600', '', '', '61.8', '56.7', '141.6', '169.9', '3153', '2430', '3080', '3693', '115.7', '147.4', '3197', '3887', '443', '464', '940', '1144', '68.0', '45.4', '795', '824', '939', '1132', '119.9', '139.4', '90.9', '101.5', '547.8', '690.0', '323.1', '381.5', '', '', '940', '1144', '22573', '39806', '1693', '2627', '16.8', '0.48', '0.47', '2.01', '2.2', '47.1', '100.0', '62.0', '-3.8', '30.8', '0.40', '0.41', '-1774', '-2609', '-606', '-1443', '-1694', '-2744', '0.76', '0.73', '38.8', '56.0']
['Athlete 16', 'bdeehan', 'Countermovement Jump', '3/27/2019 16:58', '92.3', 'Trial 4', '', '', '', '102.85', '38.78', '0.325', '6254', '316', '50.7', '88.7', '179.3', '', '1471', '18.4', '1695', '22.0', '2027', '2.11', '-4896', '-4736', '-2461', '0.0', '0', '208.6', '19254.3', '160.0', '14768.1', '131.7', '12153.6', '0', '160.5', '838', '-32.6', '165.2', '61.6', '0.337', '60.5', '41', '3747', '56', '5205', '105.8', '0.185', '66', '6089', '522', '1091.7', '1477.0', '905', '6.111', '564', '22.1', '2038', '1305', '-1.151', '-106.2', '0.48', '0.77', '403', '1567', '2027', '19.9', '7.8', '19.1', '19.1', '7.5', '5223.64', '1183.9', '335.7', '0.512', '0.773', '121.9', '57.4', '12.3', '33.2', '3060', '12.159', '570.4', '301.1', '0.24', '9.581', '9.906', '9.721', '9.384', '9.384', '18.454', '22.1', '2038', '0.197', '832', '1.953', '3850.696', '273.399', '49.164', '76662', '535.791', '49.164', '59', '5443', '8954', '0.823', '', '23.5', '22.6', '21.5', '17.5', '', '17.5', '23.5', '0.0', '', '1.8', '26.8', '21.4', '21.2', '27.2', '9.6', '18.9', '23.5', '6.2', '8.2', '23.5', '20.2', '13.7', '10.4', '20.9', '', '23.5', '-0.4', '-1.8', '', '', '2710', '3544', '41.9', '54.1', '78.8', '100.4', '210.4', '254.9', '', '', '665', '806', '879', '1149', '0', '0', '', '', '61.0', '62.0', '149.9', '204.8', '1317', '1675', '2264', '2874', '115.2', '158.1', '2891', '3198', '405', '500', '883', '1155', '96.2', '102.6', '750', '817', '879', '1149', '117.5', '147.3', '92.9', '107.5', '582.2', '649.8', '321.4', '406.0', '', '', '883', '1155', '38293', '38152', '2757', '2709', '14.1', '0.43', '0.47', '1.94', '4.9', '58.0', '98.2', '65.8', '-7.6', '-20.1', '0.37', '0.39', '-1836', '-2900', '-825', '-1636', '-1842', '-3054', '0.79', '0.73', '57.3', '45.8']
['Athlete 5', '', 'Countermovement Jump', '3/27/2019 16:56', '65.6', 'Trial 1', '', '', '', '117.51', '45.17', '0.416', '4779', '354', '21.9', '39.2', '147.3', '5144', '1058', '18.0', '1178', '21.8', '1428', '2.35', '-1274', '-1849', '146', '17.8', '1169', '105.9', '6944.0', '83.8', '5499.4', '146.5', '9610.4', '275', '162.4', '921', '-29.9', '160.2', '60.8', '0.323', '26.2', '29', '1899', '31', '2014', '62.0', '0.244', '29', '1890', '567', '706.3', '897.4', '644', '5.157', '338', '16.9', '1106', '688', '-0.945', '-62.0', '0.48', '0.78', '444', '1359', '1106', '24.2', '9.5', '25.6', '25.7', '10.1', '2805.04', '718.9', '268.2', '0.842', '0.865', '60.4', '86.9', '12.0', '43.7', '2864', '11.956', '410.9', '216.0', '0.26', '1.129', '1.545', '1.301', '0.978', '0.978', '19.516', '21.8', '1428', '0.151', '610', '2.108', '847.084', '71.155', '16.405', '20470', '538.956', '16.405', '26', '1720', '2795', '0.772', '', '1.7', '-3.2', '1.7', '3.9', '-32.2', '3.9', '1.7', '16.9', '', '0.0', '3.9', '40.6', '-2.7', '-1.5', '-33.1', '3.9', '-3.9', '11.4', '1.5', '-3.2', '9.6', '-1.3', '-3.5', '2.3', '', '1.7', '-13.9', '-2.2', '', '', '2372', '2414', '27.5', '26.6', '51.3', '52.2', '183.8', '191.3', '3574', '2424', '519', '540', '708', '721', '531', '639', '', '', '60.8', '60.8', '144.0', '149.8', '742', '1249', '1019', '992', '110.3', '108.7', '1133', '757', '316', '328', '567', '545', '68.5', '77.3', '674', '684', '562', '544', '82.8', '91.5', '101.0', '99.7', '604.1', '582.7', '290.9', '297.6', '', '', '708', '721', '11044', '9510', '895', '875', '10.5', '0.24', '1.44', '2.25', '-2.2', '-100.0', '38.3', '-34.2', '-10.7', '26.8', '0.28', '0.27', '-1447', '-402', '56', '90', '-730', '-544', '1.22', '1.09', '39.9', '54.6']
