['ForceDecks Test Results Export', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Athlete 11', 'jhallenb', 'Countermovement Jump', '9/14/2018 17:44', '83.9', 'Trial 3', '', '', '', '105.88', '42.06', '0.360', '4083', '340', '47.8', '87.7', '242.7', '4036', '1533', '28.1', '2361', '21.6', '1816', '3.00', '-1720', '-2799', '-938', '0.6', '54', '229.9', '19286.4', '188.0', '15777.2', '204.6', '17166.2', '264', '165.9', '856', '-44.5', '151.8', '53.8', '0.268', '72.7', '80', '6735', '57', '4818', '129.7', '0.248', '46', '3897', '516', '1024.3', '1345.4', '824', '8.420', '706', '21.5', '1802', '1626', '-1.549', '-130.0', '0.70', '1.16', '600', '1764', '1802', '44.1', '17.4', '42.4', '42.5', '16.7', '3900.11', '1597.4', '67.0', '0.780', '0.794', '133.1', '109.6', '11.8', '57.0', '4779', '11.836', '713.2', '382.0', '0.52', '13.682', '14.042', '13.794', '13.526', '13.526', '19.178', '21.6', '1816', '0.156', '1173', '2.710', '2359.989', '122.719', '54.742', '104146', '850.393', '54.742', '65', '5416', '13209', '0.957', '', '0.0', '-0.8', '-0.4', '-1.3', '21.3', '-1.3', '0.0', '100.0', '', '-5.9', '-10.7', '8.8', '2.0', '-9.2', '16.1', '-7.1', '-2.6', '1.0', '0.2', '-2.6', '-1.7', '-0.8', '-8.2', '-4.2', '', '0.0', '6.0', '-9.4', '', '', '2053', '2053', '44.7', '44.3', '85.2', '84.8', '262.9', '259.6', '1784', '2266', '771', '761', '913', '913', '-35', '89', '', '', '55.4', '52.1', '194.9', '174.0', '3367', '3690', '2492', '2543', '174.9', '158.8', '1777', '2119', '427', '397', '913', '889', '45.0', '45.5', '881', '883', '913', '889', '137.6', '135.3', '125.2', '124.3', '809.1', '743.0', '434.6', '416.3', '', '', '913', '913', '67593', '71891', '3650', '3307', '19.4', '0.34', '0.82', '2.89', '0.8', '-12.2', '-24.4', '-100.0', '0.9', '-30.0', '0.32', '0.33', '-1480', '-1319', '-520', '-418', '-1176', '-544', '0.91', '0.92', '49.0', '34.3']
['Athlete 11', 'jhallenb', 'Countermovement Jump', '9/14/2018 17:44', '83.9', 'Trial 4', '', '', '', '100.00', '39.86', '0.346', '4231', '346', '48.4', '85.8', '238.9', '', '1510', '27.2', '2285', '22.4', '1876', '2.95', '-3726', '-4030', '-1674', '0.0', '0', '227.5', '19089.2', '177.1', '14857.4', '192.6', '16161.9', '0', '166.3', '868', '-44.8', '150.9', '54.6', '0.314', '65.2', '49', '4111', '63', '5314', '140.6', '0.208', '60', '5068', '522', '1011.0', '1497.5', '824', '8.393', '704', '22.6', '1898', '1915', '-1.682', '-141.1', '0.69', '1.15', '598', '1730', '1876', '43.8', '17.3', '41.0', '41.2', '16.2', '4148.38', '1541.8', '37.2', '0.500', '0.808', '130.0', '108.9', '12.8', '55.2', '4633', '12.551', '729.3', '388.6', '0.51', '18.826', '19.172', '18.964', '18.650', '18.650', '17.978', '22.6', '1898', '0.176', '1164', '2.678', '5089.725', '213.768', '101.883', '223114', '818.429', '101.883', '112', '9371', '23346', '1.013', '', '-0.1', '-2.0', '-1.7', '-0.1', '', '-0.1', '-1.7', '0.0', '', '-4.9', '-6.1', '-2.5', '3.2', '-3.8', '9.9', '-5.1', '-0.1', '-8.4', '0.1', '-1.7', '-0.7', '0.5', '-3.7', '-1.3', '', '-0.1', '6.6', '1.9', '', '', '2120', '2118', '45.2', '44.3', '84.7', '83.3', '262.0', '261.6', '', '', '756', '754', '946', '930', '0', '0', '', '', '55.9', '53.2', '180.4', '169.5', '2458', '2396', '2702', '2791', '158.9', '152.9', '2402', '2666', '423', '401', '951', '950', '61.2', '56.0', '864', '866', '946', '930', '136.2', '135.3', '125.7', '126.3', '728.5', '701.4', '416.7', '411.2', '', '', '951', '950', '117845', '126180', '4950', '5047', '22.8', '0.41', '0.84', '2.84', '-1.6', '-6.0', '-20.8', '-9.1', '1.2', '-31.6', '0.32', '0.32', '-2074', '-1956', '-916', '-758', '-1944', '-1782', '0.92', '0.93', '47.3', '32.4']
['Athlete 5', 'mfay3', 'Countermovement Jump', '9/14/2018 17:38', '78.3', 'Trial 1', '', '', '', '113.93', '38.29', '0.278', '7656', '244', '43.1', '90.5', '223.8', '7750', '1678', '31.9', '2494', '26.9', '2107', '2.95', '-496', '2631', '337', '43.8', '3428', '227.9', '17847.6', '282.3', '22105.9', '331.9', '25986.6', '134', '150.6', '726', '-27.5', '197.5', '45.9', '0.318', '54.7', '58', '4557', '66', '5160', '91.6', '0.164', '69', '5402', '482', '964.2', '1325.0', '771', '5.577', '437', '21.0', '1648', '1224', '-1.164', '-91.1', '0.80', '1.21', '582', '1891', '1648', '41.5', '16.3', '41.5', '41.8', '16.5', '5211.65', '1560.9', '213.3', '0.616', '0.670', '117.5', '106.3', '17.1', '62.5', '4895', '17.104', '606.4', '322.2', '0.57', '2.844', '3.122', '2.958', '2.640', '2.640', '19.661', '26.9', '2107', '0.204', '825', '2.589', '2823.213', '146.807', '68.044', '117225', '624.410', '68.044', '78', '6096', '13741', '0.689', '', '-4.0', '-0.3', '1.1', '-3.5', '-11.9', '-3.5', '-4.0', '-15.9', '', '20.4', '18.6', '12.4', '-10.7', '10.8', '-26.5', '17.5', '1.0', '26.3', '-8.5', '0.7', '1.2', '-8.4', '16.1', '2.0', '', '-4.0', '-20.8', '-14.4', '', '', '3924', '3766', '40.8', '40.7', '83.2', '84.1', '209.3', '201.9', '4370', '3850', '854', '824', '1080', '1036', '1862', '1566', '', '', '40.8', '51.2', '120.3', '147.8', '2056', '2346', '2708', '2417', '102.5', '115.0', '3114', '2288', '348', '422', '821', '829', '64.9', '88.1', '988', '903', '821', '827', '104.9', '106.2', '104.3', '95.6', '520.4', '620.2', '309.1', '315.4', '', '', '1080', '1036', '73970', '58607', '3698', '3165', '15.6', '0.25', '0.90', '2.86', '4.6', '16.8', '-100.0', '0.0', '-9.5', '37.1', '0.40', '0.42', '1195', '1436', '380', '-44', '-248', '-248', '0.99', '0.90', '37.3', '59.3']
['Athlete 5', 'mfay3', 'Countermovement Jump', '9/14/2018 17:38', '78.3', 'Trial 2', '', '', '', '117.89', '40.28', '0.290', '6239', '246', '55.3', '106.8', '226.0', '3008', '1681', '33.4', '2616', '24.8', '1940', '2.99', '-2042', '-650', '-1306', '2.9', '224', '325.6', '25495.3', '321.1', '25143.3', '320.4', '25090.6', '144', '151.9', '720', '-31.1', '192.7', '46.0', '0.310', '55.7', '57', '4481', '76', '5975', '100.5', '0.164', '89', '6991', '474', '960.6', '1380.2', '772', '6.410', '502', '24.4', '1908', '1319', '-1.270', '-99.5', '0.82', '1.24', '590', '1790', '1908', '42.7', '16.8', '42.7', '42.9', '16.9', '5570.51', '1707.7', '175.6', '0.618', '0.662', '131.4', '94.7', '15.0', '60.6', '4743', '14.976', '639.1', '333.6', '0.59', '8.866', '9.156', '8.992', '8.682', '8.682', '18.361', '24.8', '1940', '0.184', '888', '2.649', '1365.124', '92.828', '40.782', '58251', '854.864', '40.782', '51', '3961', '8757', '1.083', '', '-2.9', '3.6', '2.0', '-6.4', '-56.7', '-6.4', '-2.9', '-100.0', '', '21.9', '21.3', '-9.2', '-5.3', '15.9', '-13.9', '16.6', '5.4', '18.0', '-11.2', '5.4', '1.2', '-14.6', '-17.3', '2.9', '', '-2.9', '-37.9', '-34.1', '', '', '3247', '3153', '46.0', '47.7', '90.9', '92.7', '214.3', '200.7', '2116', '916', '868', '813', '1010', '981', '567', '-344', '', '', '40.5', '51.8', '122.6', '155.8', '2291', '2080', '3069', '2907', '103.4', '123.0', '3756', '3235', '351', '421', '928', '981', '62.4', '76.1', '948', '842', '928', '981', '111.9', '113.2', '102.4', '87.5', '700.4', '579.0', '313.4', '322.7', '', '', '1010', '981', '38105', '23659', '2515', '1656', '16.8', '0.28', '0.72', '2.90', '8.2', '100.0', '100.0', '94.2', '-15.6', '-27.7', '0.42', '0.46', '-19', '-631', '-229', '-1077', '-694', '-1348', '0.92', '0.77', '62.8', '45.4']
['Athlete 5', 'mfay3', 'Countermovement Jump', '9/14/2018 17:38', '78.3', 'Trial 3', '', '', '', '127.56', '42.63', '0.324', '5832', '254', '54.3', '102.9', '223.8', '', '1643', '32.3', '2532', '24.2', '1892', '2.95', '-1772', '-1059', '-910', '19.7', '1543', '315.6', '24709.5', '295.9', '23171.1', '294.5', '23063.0', '14', '150.2', '760', '-32.4', '199.2', '46.9', '0.332', '47.1', '32', '2489', '64', '4981', '96.4', '0.174', '80', '6302', '506', '914.2', '1322.1', '772', '6.263', '490', '23.9', '1870', '1209', '-1.222', '-95.7', '0.77', '1.16', '586', '1726', '1870', '42.1', '16.6', '41.7', '41.9', '16.5', '4975.76', '1549.2', '256.0', '0.520', '0.702', '129.8', '94.0', '14.4', '58.0', '4539', '14.352', '641.2', '327.0', '0.55', '14.200', '14.524', '14.350', '14.018', '14.018', '19.061', '24.2', '1892', '0.182', '897', '2.630', '1360.702', '87.085', '37.011', '57278', '862.588', '37.011', '47', '3666', '8474', '1.176', '', '-0.3', '3.9', '0.7', '-5.7', '', '-5.7', '-0.3', '-83.2', '', '22.3', '17.6', '35.0', '7.4', '14.0', '1.7', '17.7', '7.6', '22.8', '-9.5', '7.6', '0.0', '-12.0', '-0.5', '2.2', '', '-0.3', '9.8', '1.1', '', '', '3026', '3016', '45.5', '47.3', '89.5', '90.2', '215.6', '203.2', '', '', '846', '798', '981', '978', '1321', '221', '', '', '41.2', '53.0', '133.6', '162.3', '978', '1505', '2404', '2596', '106.3', '123.7', '3124', '3178', '348', '423', '898', '972', '69.4', '89.9', '906', '820', '898', '972', '113.3', '113.3', '102.3', '90.0', '650.0', '646.9', '318.8', '326.1', '', '', '981', '978', '31512', '34950', '2143', '2167', '15.4', '0.27', '0.72', '2.87', '6.4', '100.0', '100.0', '100.0', '-12.0', '-13.8', '0.42', '0.44', '-37', '-1022', '-46', '-863', '-186', '-1586', '0.90', '0.79', '54.4', '47.0']
['Athlete 5', 'mfay3', 'Countermovement Jump', '9/14/2018 17:38', '78.3', 'Trial 4', '', '', '', '128.13', '45.43', '0.328', '5583', '256', '54.4', '104.7', '223.1', '', '1634', '31.9', '2499', '23.9', '1870', '2.94', '-904', '-799', '-913', '14.9', '1170', '314.3', '24613.3', '300.1', '23495.2', '289.8', '22693.2', '10', '154.9', '722', '-33.5', '182.0', '47.1', '0.272', '43.8', '35', '2723', '66', '5184', '101.6', '0.194', '71', '5585', '466', '901.9', '1292.0', '769', '7.019', '550', '23.7', '1858', '1334', '-1.306', '-102.2', '0.81', '1.26', '588', '1708', '1858', '42.4', '16.7', '40.9', '41.2', '16.2', '5077.04', '1725.5', '157.7', '0.476', '0.662', '134.1', '89.0', '14.1', '57.0', '4463', '14.075', '646.1', '332.3', '0.59', '19.554', '19.882', '19.688', '19.416', '19.416', '17.761', '23.9', '1870', '0.138', '902', '2.613', '1294.474', '80.257', '33.635', '54863', '911.663', '33.635', '43', '3402', '7785', '1.165', '', '0.0', '3.5', '2.0', '-5.3', '', '-5.3', '0.0', '-41.9', '', '18.5', '17.4', '-45.1', '-15.0', '10.6', '3.1', '14.0', '5.2', '21.7', '-10.6', '5.2', '0.5', '-12.0', '9.1', '1.3', '', '0.0', '20.4', '9.8', '', '', '2866', '2865', '45.6', '47.2', '89.8', '91.7', '215.5', '204.1', '', '', '839', '795', '960', '960', '740', '430', '', '', '42.4', '52.0', '133.7', '161.9', '2897', '1591', '2992', '2543', '118.3', '132.3', '2748', '2837', '356', '413', '904', '954', '46.8', '59.8', '902', '806', '904', '954', '115.9', '116.4', '99.6', '87.7', '644.8', '709.1', '331.3', '335.7', '', '', '960', '960', '29628', '37218', '2015', '2233', '17.0', '0.30', '0.66', '2.84', '7.2', '-100.0', '100.0', '100.0', '-12.4', '15.0', '0.42', '0.45', '12', '-811', '-96', '-817', '-186', '-718', '0.86', '0.75', '48.8', '57.4']
['Athlete 41', 'mschmi17', 'Countermovement Jump', '9/14/2018 17:33', '89.3', 'Trial 1', '', '', '', '127.94', '43.07', '0.348', '5103', '272', '59.2', '111.3', '241.5', '', '1759', '29.4', '2622', '23.6', '2112', '2.83', '-2228', '-2600', '-665', '0.0', '0', '296.6', '26490.7', '258.2', '23059.7', '261.3', '23332.8', '0', '150.7', '808', '-41.4', '197.1', '50.0', '0.348', '61.5', '28', '2512', '63', '5587', '137.9', '0.188', '74', '6569', '536', '1052.8', '1608.0', '880', '7.545', '674', '23.6', '2112', '1867', '-1.533', '-136.9', '0.70', '1.05', '564', '1931', '2112', '39.0', '15.4', '37.4', '37.6', '14.8', '4698.50', '1651.4', '167.3', '0.536', '0.744', '146.8', '94.8', '13.8', '54.6', '4877', '13.841', '734.1', '389.7', '0.48', '3.876', '4.224', '4.036', '3.688', '3.688', '16.334', '23.6', '2112', '0.188', '1081', '2.526', '993.030', '83.415', '26.617', '38721', '923.501', '26.617', '36', '3253', '7034', '0.921', '', '10.4', '12.0', '10.8', '5.9', '', '5.9', '10.5', '0.0', '', '11.7', '19.3', '26.7', '7.1', '15.7', '-6.5', '16.9', '10.4', '19.1', '1.1', '10.5', '9.5', '1.2', '5.7', '10.2', '', '10.4', '-6.6', '5.4', '', '', '2413', '2693', '48.2', '54.8', '93.8', '105.2', '232.5', '247.2', '', '', '852', '906', '997', '1114', '0', '0', '', '', '46.8', '53.0', '163.6', '202.6', '971', '1325', '2663', '2867', '138.4', '164.2', '3395', '3174', '399', '481', '999', '1114', '75.1', '92.8', '960', '971', '997', '1114', '126.3', '139.6', '106.3', '107.6', '716.7', '759.9', '366.7', '408.3', '', '', '999', '1114', '23786', '22214', '1808', '1910', '20.9', '0.38', '0.65', '2.72', '5.2', '51.5', '100.0', '-22.4', '-8.4', '7.1', '0.40', '0.43', '-1034', '-1566', '-74', '-591', '-1226', '-1002', '0.84', '0.77', '64.0', '68.8']
['Athlete 41', 'mschmi17', 'Countermovement Jump', '9/14/2018 17:33', '89.3', 'Trial 2', '', '', '', '124.31', '43.77', '0.358', '5043', '288', '54.9', '105.2', '246.5', '', '1727', '29.1', '2596', '22.4', '2001', '2.89', '-1388', '-1535', '-124', '17.4', '1550', '265.6', '23715.9', '243.3', '21728.4', '247.1', '22062.6', '2', '154.3', '818', '-39.7', '184.0', '50.8', '0.326', '57.2', '25', '2259', '56', '4958', '126.7', '0.204', '62', '5502', '530', '1035.9', '1496.2', '878', '7.314', '653', '22.4', '1998', '1640', '-1.419', '-126.7', '0.69', '1.07', '568', '1909', '1998', '39.5', '15.6', '38.7', '38.9', '15.3', '4472.73', '1640.4', '223.0', '0.532', '0.756', '147.3', '99.2', '12.6', '55.8', '4986', '12.600', '732.9', '384.7', '0.48', '10.440', '10.798', '10.594', '10.268', '10.268', '19.434', '22.4', '2001', '0.172', '1100', '2.612', '1931.673', '135.217', '50.077', '76394', '878.645', '50.077', '60', '5348', '11899', '0.972', '', '7.6', '11.8', '11.2', '5.2', '', '5.3', '7.6', '76.0', '', '12.0', '10.8', '25.6', '11.9', '7.9', '3.2', '16.6', '11.2', '31.4', '-0.8', '11.2', '9.9', '-0.7', '6.5', '6.7', '', '7.6', '-5.6', '-5.6', '', '', '2468', '2673', '46.2', '52.4', '90.7', '102.1', '242.7', '256.1', '', '', '840', '887', '979', '1060', '300', '1250', '', '', '47.5', '54.0', '174.8', '195.9', '953', '1281', '2315', '2628', '146.4', '159.0', '2707', '2795', '399', '479', '940', '1058', '64.6', '94.2', '958', '951', '940', '1058', '129.6', '143.8', '113.0', '112.3', '716.2', '766.1', '384.4', '411.8', '', '', '979', '1060', '39303', '37091', '2751', '2596', '18.4', '0.33', '0.67', '2.76', '6.3', '63.7', '-100.0', '0.0', '-10.5', '-17.0', '0.37', '0.40', '-582', '-953', '164', '-288', '-694', '-694', '0.87', '0.78', '62.4', '51.8']
['Athlete 41', 'mschmi17', 'Countermovement Jump', '9/14/2018 17:33', '89.3', 'Trial 3', '', '', '', '126.21', '45.98', '0.366', '5041', '290', '56.1', '104.4', '247.1', '', '1723', '29.0', '2593', '22.9', '2048', '2.89', '-2414', '-2612', '-399', '0.0', '0', '271.1', '24210.1', '233.9', '20885.3', '244.3', '21819.9', '0', '157.3', '796', '-40.7', '174.5', '51.0', '0.306', '54.6', '36', '3213', '58', '5208', '129.2', '0.200', '66', '5866', '506', '1025.2', '1521.1', '878', '7.849', '701', '23.0', '2050', '1666', '-1.444', '-129.0', '0.72', '1.13', '570', '1912', '2048', '39.8', '15.7', '38.9', '39.1', '15.4', '4692.45', '1752.6', '141.9', '0.500', '0.734', '144.9', '102.2', '13.1', '55.8', '4979', '13.126', '752.0', '387.0', '0.50', '15.938', '16.304', '16.104', '15.798', '15.798', '16.334', '23.0', '2050', '0.140', '1113', '2.604', '1437.627', '106.384', '37.640', '57257', '964.208', '37.640', '47', '4237', '9288', '1.167', '', '9.4', '9.5', '8.4', '3.5', '', '3.5', '9.1', '0.0', '', '16.5', '19.2', '40.9', '11.4', '15.0', '-12.8', '19.5', '10.9', '28.7', '-0.6', '10.7', '7.3', '-1.2', '13.7', '8.4', '', '9.4', '22.5', '26.6', '', '', '2418', '2668', '47.5', '52.4', '91.8', '100.2', '246.1', '255.0', '', '', '846', '877', '983', '1082', '0', '0', '', '', '46.3', '55.5', '167.6', '207.5', '1244', '2105', '2425', '2737', '139.8', '164.5', '3133', '2733', '392', '487', '966', '1085', '57.9', '81.1', '959', '953', '966', '1082', '130.4', '140.6', '115.7', '114.4', '717.2', '831.5', '381.0', '415.8', '', '', '983', '1085', '25133', '32443', '1810', '2466', '18.7', '0.33', '0.71', '2.77', '5.1', '70.4', '-100.0', '67.0', '-8.3', '24.7', '0.37', '0.39', '-966', '-1646', '46', '-445', '-904', '-1510', '0.89', '0.81', '53.0', '70.4']
['Athlete 41', 'mschmi17', 'Countermovement Jump', '9/14/2018 17:33', '89.3', 'Trial 4', '', '', '', '131.29', '46.62', '0.386', '4965', '294', '57.4', '106.8', '245.2', '', '1705', '28.9', '2577', '23.1', '2064', '2.88', '-2130', '-2767', '-799', '5.3', '475', '281.7', '25155.6', '239.0', '21341.1', '237.1', '21172.9', '4', '155.1', '828', '-41.6', '181.6', '51.5', '0.328', '46.4', '19', '1702', '54', '4803', '129.6', '0.206', '64', '5731', '534', '996.6', '1504.4', '878', '7.605', '679', '23.1', '2062', '1666', '-1.449', '-129.4', '0.69', '1.06', '568', '1875', '2062', '39.5', '15.6', '38.3', '38.5', '15.1', '4460.31', '1639.4', '208.1', '0.538', '0.764', '148.5', '96.7', '13.3', '54.6', '4873', '13.308', '740.7', '386.6', '0.48', '21.352', '21.738', '21.532', '21.204', '21.204', '16.434', '23.1', '2064', '0.148', '1127', '2.599', '1300.077', '98.806', '33.951', '51416', '982.996', '33.951', '44', '3908', '9307', '1.113', '', '15.0', '15.7', '13.9', '6.5', '', '6.5', '15.0', '100.0', '', '10.4', '14.3', '47.1', '18.0', '13.0', '5.6', '16.2', '16.0', '22.0', '0.5', '16.0', '11.6', '-0.2', '2.5', '9.5', '', '15.0', '-26.9', '-18.3', '', '', '2297', '2702', '46.3', '54.9', '89.9', '104.4', '242.9', '259.7', '', '', '824', '881', '955', '1123', '-150', '625', '', '', '48.6', '54.2', '177.4', '207.0', '625', '1182', '2178', '2658', '144.2', '165.8', '2783', '2948', '400', '478', '942', '1120', '69.1', '88.7', '936', '940', '942', '1120', '129.7', '146.6', '113.3', '113.1', '755.5', '775.0', '382.5', '422.7', '', '', '955', '1123', '38710', '28282', '2632', '2149', '18.7', '0.34', '0.65', '2.75', '7.9', '100.0', '100.0', '81.7', '-11.7', '-2.6', '0.37', '0.40', '-892', '-1875', '-10', '-789', '-756', '-1374', '0.87', '0.77', '53.7', '52.3']
['Athlete 41', 'mschmi17', 'Countermovement Jump', '9/14/2018 17:33', '89.3', 'Trial 5', '', '', '', '130.52', '47.52', '0.402', '4503', '308', '52.7', '98.9', '240.2', '', '1651', '27.3', '2439', '21.8', '1946', '2.82', '-978', '-2105', '-486', '11.4', '1014', '248.7', '22209.2', '213.4', '19060.9', '213.8', '19088.2', '14', '157.2', '846', '-43.2', '174.7', '53.2', '0.294', '52.4', '26', '2321', '49', '4370', '128.8', '0.244', '49', '4359', '538', '1006.4', '1403.5', '878', '7.849', '701', '21.6', '1932', '1538', '-1.440', '-128.6', '0.65', '1.03', '552', '1818', '1932', '37.4', '14.7', '36.8', '36.9', '14.5', '4065.04', '1581.5', '175.3', '0.552', '0.782', '144.0', '96.2', '12.0', '52.2', '4661', '11.990', '736.9', '380.5', '0.44', '27.308', '27.710', '27.466', '27.172', '27.172', '18.834', '21.8', '1946', '0.136', '1135', '2.564', '1398.722', '100.708', '32.317', '52244', '972.196', '32.317', '42', '3762', '8992', '1.129', '', '9.4', '11.5', '9.2', '1.1', '', '1.2', '9.4', '-95.6', '', '18.6', '18.4', '-12.7', '3.7', '14.5', '6.1', '19.5', '13.3', '31.8', '-3.9', '13.3', '7.4', '-6.6', '-5.1', '7.7', '', '9.4', '-56.0', '-42.6', '', '', '2173', '2399', '45.3', '51.2', '88.7', '97.7', '253.5', '256.4', '', '', '821', '830', '939', '1037', '971', '43', '', '', '47.7', '58.6', '181.8', '222.7', '1163', '1015', '2128', '2210', '157.9', '184.6', '2111', '2248', '391', '487', '897', '1035', '52.3', '76.6', '927', '891', '897', '1035', '134.0', '144.8', '119.5', '111.6', '814.8', '773.1', '404.5', '438.3', '', '', '939', '1037', '44110', '19388', '3176', '1822', '17.2', '0.33', '0.67', '2.69', '8.2', '100.0', '-100.0', '100.0', '-13.5', '-27.8', '0.35', '0.38', '-557', '-1548', '24', '-511', '-62', '-916', '0.89', '0.77', '68.8', '49.7']
['Athlete 52', 'jcheng4', 'Countermovement Jump', '9/14/2018 17:29', '75.4', 'Trial 1', '', '', '', '122.82', '41.31', '0.366', '4098', '298', '52.7', '95.9', '230.2', '', '1508', '32.8', '2474', '24.3', '1835', '3.16', '-2428', '-3139', '-731', '8.2', '617', '316.8', '23884.8', '255.8', '19284.7', '263.7', '19882.3', '6', '150.7', '886', '-44.8', '197.3', '49.2', '0.372', '57.9', '37', '2805', '59', '4484', '109.2', '0.216', '67', '5048', '588', '898.2', '1245.2', '741', '7.444', '561', '24.3', '1832', '1341', '-1.448', '-109.2', '0.70', '1.06', '624', '1671', '1832', '47.7', '18.8', '47.4', '47.5', '18.7', '3664.91', '1364.2', '190.2', '0.594', '0.828', '132.0', '98.2', '14.5', '63.3', '4772', '14.533', '450.0', '347.8', '0.54', '2.730', '3.096', '2.880', '2.508', '2.508', '19.821', '24.3', '1835', '0.222', '1073', '2.856', '2961.964', '130.326', '72.695', '141377', '816.637', '72.695', '83', '6221', '15528', '0.980', '', '8.9', '9.5', '10.0', '2.1', '', '2.1', '8.9', '-80.6', '', '5.3', '14.4', '46.3', '14.6', '15.5', '4.3', '7.3', '9.1', '-7.0', '-4.7', '9.1', '9.4', '-6.5', '3.9', '8.2', '', '8.9', '-25.5', '-22.1', '', '', '1954', '2144', '42.6', '47.1', '80.4', '89.4', '222.9', '227.7', '', '', '746', '762', '875', '960', '517', '100', '', '', '47.8', '50.5', '151.5', '177.0', '1071', '1993', '2089', '2446', '123.1', '145.7', '2468', '2580', '357', '385', '872', '960', '86.0', '79.9', '856', '815', '872', '960', '114.8', '126.7', '108.1', '101.0', '427.5', '445.0', '342.6', '373.4', '', '', '875', '960', '82355', '61341', '3624', '2822', '17.8', '0.28', '0.74', '3.05', '8.0', '12.1', '100.0', '-20.3', '-15.3', '-19.1', '0.36', '0.39', '-1480', '-1659', '-140', '-592', '-1326', '-1102', '0.94', '0.80', '44.8', '36.3']
['Athlete 52', 'jcheng4', 'Countermovement Jump', '9/14/2018 17:29', '75.4', 'Trial 2', '', '', '', '131.47', '43.82', '0.376', '4548', '286', '72.8', '122.5', '242.5', '', '1584', '37.3', '2809', '30.9', '2332', '3.30', '-7244', '-7937', '-3625', '0.0', '0', '504.0', '37999.7', '331.1', '24968.7', '273.4', '20616.5', '0', '150.0', '858', '-51.3', '200.0', '46.9', '0.400', '50.4', '30', '2260', '78', '5880', '127.2', '0.172', '123', '9258', '572', '875.5', '1479.6', '743', '8.765', '661', '30.9', '2334', '2020', '-1.682', '-126.9', '0.76', '1.15', '656', '1608', '2332', '52.8', '20.8', '52.6', '52.9', '20.8', '4311.38', '1610.4', '121.6', '0.568', '0.808', '152.7', '89.8', '21.1', '64.7', '4876', '21.126', '680.3', '375.8', '0.61', '9.142', '9.518', '9.346', '8.946', '8.946', '16.121', '30.9', '2334', '0.196', '1188', '3.031', '1989.235', '99.462', '59.780', '104936', '758.835', '59.780', '70', '5247', '13833', '0.913', '', '6.5', '8.0', '8.2', '6.4', '', '6.4', '6.8', '0.0', '', '0.9', '12.2', '-19.5', '2.6', '13.0', '-2.1', '7.3', '6.5', '-2.0', '1.1', '6.8', '8.4', '3.6', '14.5', '9.0', '', '6.5', '-31.5', '-22.9', '', '', '2200', '2353', '52.6', '57.2', '94.0', '102.5', '219.5', '234.5', '', '', '766', '818', '1125', '1207', '0', '0', '', '', '46.7', '47.1', '153.5', '174.9', '1300', '1047', '2977', '3056', '118.3', '136.0', '4679', '4578', '357', '385', '1129', '1207', '85.3', '83.6', '800', '808', '1125', '1207', '123.2', '134.5', '96.3', '99.9', '555.5', '649.6', '336.2', '369.4', '', '', '1129', '1207', '69185', '47393', '3321', '2559', '26.8', '0.41', '0.59', '3.22', '2.0', '3.1', '19.3', '-3.1', '-5.0', '21.2', '0.43', '0.44', '-3907', '-4030', '-1653', '-1972', '-3678', '-3566', '0.78', '0.74', '38.5', '48.9']
